model,trace_id,pre_rate,post_rate,n_pre,n_post
deepseek-r1-distill-qwen-1.5b,1fbe39f4df7ed8f9c951ce99aa1ff7a87ec701a418c0d201a93c93a2c363e82f,0.2,0.42857142857142855,5,7
deepseek-r1-distill-qwen-1.5b,25f627b1ad4a91c7d0af3879381537134781a629f780232ab5d7a44bcc5b405b,0.3125,0.1111111111111111,16,9
deepseek-r1-distill-qwen-1.5b,381ca75b7c0ddd98480d90e33e8c4716a0009a5ad3c6a80b8b9c87c240ac952f,0.6923076923076923,0.4,13,10
deepseek-r1-distill-qwen-1.5b,3e68f7a1084358c68cbaaf31efd0b7ab7a367a6cc4109d36fce19a7c0b021e8e,0.625,0.6,8,5
deepseek-r1-distill-qwen-1.5b,3f10ebe700c4b44efecfe1c78d7061ed389ddc5983d764b967f93354bcc24fe0,0.5,0.625,6,8
deepseek-r1-distill-qwen-1.5b,416c5f89c3016f5f61fa108da25b8cbc24a87e563fad21557c67f70eef00486d,0.2222222222222222,0.14285714285714285,9,7
deepseek-r1-distill-qwen-1.5b,45580d9b2fc6452748e77325969f38c11d2705e2b4c453037ee855d08fde29e0,0.7142857142857143,0.8333333333333334,14,6
deepseek-r1-distill-qwen-1.5b,59061cfe86839e20b159e9c9cb1aee5268a49f57b2a382b7711df4f169496c5a,0.95,0.8333333333333334,20,6
deepseek-r1-distill-qwen-1.5b,61f0d9c33055ff20bbe31192c05515847709bfdb0765caa20d6848a3179f936c,0.5,0.5714285714285714,10,7
deepseek-r1-distill-qwen-1.5b,648e47b2f1bafb52f22a376678ffd418b9643888c2690725865820989aa57871,0.7272727272727273,0.631578947368421,11,19
deepseek-r1-distill-qwen-1.5b,6b29b99cf7808f9bf3e157bf6d638c577363706382846b84032e46c306e25b83,0.42857142857142855,0.0,7,7
deepseek-r1-distill-qwen-1.5b,6b82eca76a3eabc699a4ebbba263d97ca4b9064f0ffef3eb56e12e83514dc7e8,0.9444444444444444,0.8571428571428571,18,7
deepseek-r1-distill-qwen-1.5b,73f65b45ebe36218250cc8e29d89c0610a621f25dd7c53041013a43f96ae602f,0.45,1.0,20,5
deepseek-r1-distill-qwen-1.5b,7c7927bff5ee0774be9aef84c7c448e46779016700f311a59a354759131fbada,0.3076923076923077,0.0,13,6
deepseek-r1-distill-qwen-1.5b,7d601798256d0d04c11f12822ed3556dea9aa5a39673b56d51b977b35546a3ae,0.25,0.0,8,8
deepseek-r1-distill-qwen-1.5b,7eecde4d2031061c2b7dfb7ffee2ba5f798445559758353fa77ac09045950f86,0.7777777777777778,0.8,9,5
deepseek-r1-distill-qwen-1.5b,894c92c28ffdac20775618973fe349aa89ea1537fdf4324946b0bb34a0046b21,0.2857142857142857,0.8333333333333334,7,6
deepseek-r1-distill-qwen-1.5b,8a7bd474250d0ae19560f48257af2c25690caaa22894d03e1adfdb15325e0d27,1.0,0.8,12,5
deepseek-r1-distill-qwen-1.5b,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,0.8333333333333334,0.8333333333333334,6,6
deepseek-r1-distill-qwen-1.5b,8f64fca2cf5c4ac5610e5efa873ff50be1ad5e8453ef0052a5973e275969ca83,0.4,0.5,5,10
deepseek-r1-distill-qwen-1.5b,93f6f9c850f8252791591283e6f14057432814edd65ec72954dfe8095796073f,0.25,0.4,8,5
deepseek-r1-distill-qwen-1.5b,9984bbbbdfb5cfffa8c8c4deab96a974512bad7429e299d0ab0ebf41db09a4bb,0.23076923076923078,0.2222222222222222,13,9
deepseek-r1-distill-qwen-1.5b,9fc8c5306fb9e7475699cf84460f81ec9615f3c47084d9ff99c14928f883de7b,1.0,0.8888888888888888,9,9
deepseek-r1-distill-qwen-1.5b,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,0.625,0.6,8,5
deepseek-r1-distill-qwen-1.5b,aa521f3e28f4916295cb2e725bb2b37c9d817103daff60b39bc5fe7f59ad0e4a,0.25,0.0,8,9
deepseek-r1-distill-qwen-1.5b,af6b7ed322a504801ff11359206481163eef70f72220670382f3ab0cc757a87e,0.0,0.2,6,10
deepseek-r1-distill-qwen-1.5b,b601a454f5b33353323a9f646da53f012f505c1ebfc845306eff8bf777de3b17,0.3333333333333333,0.25,9,8
deepseek-r1-distill-qwen-1.5b,b9774713aaeec51f6f786a926dcfbf5c648db806578e511f22945151bae4c4b8,0.7222222222222222,0.7142857142857143,18,7
deepseek-r1-distill-qwen-1.5b,ba209520247ac94a7d5f91ffccdab43b8362e7502a8946e5e3df670836de1783,0.23076923076923078,0.36363636363636365,13,11
deepseek-r1-distill-qwen-1.5b,c75dab1440466cbfd2f4df3e06b9d06eb4be56fa42797e33cf1e899847a733e3,0.5,0.0,6,5
deepseek-r1-distill-qwen-1.5b,d8a348bedc1ff6ee91cb22af14f03ba5aa435fc8ec229ca9e534ec0dfb960ba9,0.42857142857142855,0.6666666666666666,14,6
deepseek-r1-distill-qwen-1.5b,e2369a8ca08930662838b00f852448d7482c231ececdb07d532ce1be315a47ea,0.4166666666666667,0.4666666666666667,12,15
deepseek-r1-distill-qwen-1.5b,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,0.11764705882352941,0.0,17,7
deepseek-r1-distill-qwen-1.5b,efb22ecc031bbfcd3613e83aa8b0dc82135a8cabcc8758b24543b51da13d5282,0.25,0.3333333333333333,12,12
deepseek-r1-distill-qwen-1.5b,fcc94381a4a81af4cc0dfc020d3a18e2c592868fe1d8aaaf3f47457c57f2716d,0.4375,0.3333333333333333,16,6
deepseek-r1-distill-qwen-14b,004628bc9736dbce9cdadf782c41fdbbc8960d75bd5420f74fb8c700bbf3954e,0.2857142857142857,0.09090909090909091,49,22
deepseek-r1-distill-qwen-14b,03a9342afb6ce45e168c620181916e130fb4b0b3f44cdcf8ed730aff184fb5eb,0.9259259259259259,0.7,27,20
deepseek-r1-distill-qwen-14b,07f64798bcd054443e871d3621169c2acd7185d78a6d0474a5128fcf770ac90b,0.4915254237288136,0.2857142857142857,59,7
deepseek-r1-distill-qwen-14b,08b29d23cb2db86e4bff50347ae4137db39579cce88d649ca7a89efa3c168a5b,0.3125,0.5,32,6
deepseek-r1-distill-qwen-14b,0a9df4c556164239c32879347565014a9d902f6677c666e937429a38a6b2b90c,0.2,0.25,20,16
deepseek-r1-distill-qwen-14b,0b98460c35ffd346385a9a70d902bf726435169ff7ad1c6025a3c16ab3af2f5b,0.3492063492063492,0.4117647058823529,63,17
deepseek-r1-distill-qwen-14b,0d5cbb46546ba7ba75cafe348c2247c5bc90aefbc91b1ad40052644e8fb0bb48,0.0625,0.4,16,5
deepseek-r1-distill-qwen-14b,1306b39708e895ad28664b79ddf99fc2965a349e0aec30feb6045ecbacfbde9e,0.6538461538461539,0.56,52,25
deepseek-r1-distill-qwen-14b,13f4bca15a32bec5c9b7bfcdc47cff2f1624ffece48da02f05825cb711f3eb23,0.3076923076923077,0.14285714285714285,13,7
deepseek-r1-distill-qwen-14b,15b16f0371c2de979d07e7638e55d1019fb43be9ac8ffce12ac26826ff1ad334,0.7142857142857143,0.6923076923076923,14,13
deepseek-r1-distill-qwen-14b,1a2ad9c195f8a80427fdf295904dac2c5cf8de9613a5e9efda780ba570fc72c4,0.5294117647058824,0.5384615384615384,17,13
deepseek-r1-distill-qwen-14b,1ac885786962c33609177fbb80be1f8868092021f1dd0205a89c6b2302796a93,0.10526315789473684,0.2,19,15
deepseek-r1-distill-qwen-14b,1b0fdc0a1afb9bc1355bd6094f2fdcfa6cf8efe86c5cb318c24534840496d2c6,0.3684210526315789,0.631578947368421,19,19
deepseek-r1-distill-qwen-14b,1d45a70bd9e47c8d917b776494b6b22f8b06671f5f135b38ef0332ba4ed12a0d,0.36363636363636365,0.6666666666666666,11,12
deepseek-r1-distill-qwen-14b,1f85a7fddc803a6e64f1b0dacb1488eaed2bb680245df03f614efbe3ebb7e929,0.5375,0.0,80,5
deepseek-r1-distill-qwen-14b,24362a99acb2d4016b87422a1241f7ec8579c437aac343a703c55ef10727615e,0.11428571428571428,0.3448275862068966,35,29
deepseek-r1-distill-qwen-14b,25eec22abd7c6468d1d3bf6980e1eede034d9a0914c7e1bfb2886747bf131c45,0.5333333333333333,0.6666666666666666,30,6
deepseek-r1-distill-qwen-14b,26f48613fbd7e4a91f545cff678db8b8740cd9b2548ec8902ace7ac4f73a4cb4,0.5952380952380952,0.875,42,8
deepseek-r1-distill-qwen-14b,287458dd17cadfc154bd6b3e8bc7fd7bccaecdd521358e02dfd9b03c40dbdac3,0.5185185185185185,0.5714285714285714,27,14
deepseek-r1-distill-qwen-14b,2989748e8ecae6b889fb7d5b937c842fc5e391094560edd4d347c2ea6dd1f8e4,0.5217391304347826,0.46153846153846156,46,13
deepseek-r1-distill-qwen-14b,2ca5952b5c127fa3d46e92d58ac9680e7e08ef54e1e0b1b217017a41ddb652d6,0.3333333333333333,0.14285714285714285,18,7
deepseek-r1-distill-qwen-14b,2dcdd663b2da1d67645f7384769ff54bd2484d0f7850cc843e5703f9f14b5243,0.6,0.5,25,6
deepseek-r1-distill-qwen-14b,2f4398d35e0e050a5ff9e5815b796810208507c473a696c5ceeeec927f2ddf95,0.375,0.2,8,10
deepseek-r1-distill-qwen-14b,31000cb211ff3899b0da93d332a981d697bde4bed70f3fe181b009add778e113,0.2857142857142857,0.5,14,6
deepseek-r1-distill-qwen-14b,335669dc7b39cadfd288a5725a1660b66f0247aab8efe053c4606e9bd9950abc,0.2857142857142857,0.2727272727272727,7,11
deepseek-r1-distill-qwen-14b,3488722b61b7242ac79cbf54a90eb8360d7aa998dd04c01385ee13ac63704f23,0.42528735632183906,0.4,87,25
deepseek-r1-distill-qwen-14b,377e2e906ad9ca1d29009e1a3c50a8792f682d148e3f78db4442533a1b637c76,0.48214285714285715,0.3157894736842105,56,19
deepseek-r1-distill-qwen-14b,39d5a6466a2e58fba66457d853ae5f652c10b1a55b46213c06235ab316fef03e,0.4634146341463415,0.2222222222222222,41,9
deepseek-r1-distill-qwen-14b,3aa41dc06996d7e779e0b85e3bdae6f5e430e6ee017b58253ebadf47dfa30b52,0.3333333333333333,0.3333333333333333,21,6
deepseek-r1-distill-qwen-14b,4369f435442bb72188c31040bbcac8e354b60b0fe314dc91641c7755eceaac7e,0.875,0.8571428571428571,8,7
deepseek-r1-distill-qwen-14b,4451bb3aba76864db779fc31c631bc4495790c4913f567849adfb57c8eb269a3,0.3448275862068966,0.36363636363636365,29,11
