model,case_id,trace_id,base_is_correct,n_sentences,n_boundaries,vocabulary_size,converge_boundary_tvd,converge_token_frac_tvd,tvd_max_first,tvd_max_at_convergence,tvd_median_first
deepseek-r1-distill-qwen-1.5b,8c88e2f998f2ec7a396f40c6d5452b84,102f8d05b06ca9ede8725f2977c52d0f9c9e9b2504a6d32720dc2cb138cbf604,False,25,26,144,20,0.8006872852233677,1.0000000000000002,0.052631578947368446,0.9000000000000002
deepseek-r1-distill-qwen-1.5b,8d4129f4074a7419ef8017429041fac4,11c066c073d2a398f8c97f9b5f6059dde06da9e45a9bde10296a1e283f7efdd9,True,19,20,103,12,0.6259946949602122,1.0000000000000004,0.10526315789473688,0.9000000000000001
deepseek-r1-distill-qwen-1.5b,8d4129f4074a7419ef8017429041fac4,708e4108262f582ed0c8c94c663502396dff4ee512203abfee81db7c16245924,False,16,17,70,12,0.7560240963855421,0.9000000000000002,0.2,0.85
deepseek-r1-distill-qwen-1.5b,8e99e185c9670ed801211fba5a2e93f9,7e5d91db88839b1ff3c56c3228e3e686735fbc7a3706c8f9dbbe81da71141095,True,14,15,51,14,1.0,1.0000000000000002,0.0,1.0
deepseek-r1-distill-qwen-1.5b,8e99e185c9670ed801211fba5a2e93f9,11a3865fb7b261a7c7a89f6a645dfbee956d6b4cbefaa5e29533bec4cba5d0a3,False,18,19,47,10,0.5793650793650794,0.9000000000000002,0.17647058823529416,0.8000000000000003
deepseek-r1-distill-qwen-1.5b,967834058a7e6f5cb903d6d983ecba7e,31ccf840380fe031fbd21fbca23c47b57f92510733a407ce121596142d455567,False,16,17,30,12,0.7947494033412887,0.8421052631578947,0.15000000000000002,0.588157894736842
deepseek-r1-distill-qwen-1.5b,99056c3c2db73e4929ee1df107d73688,f28d747ee72e210aaba0e44b2b1db75d60eded9bc316d94e10d11838cee062db,True,15,16,92,13,0.9168975069252078,1.0000000000000002,0.050000000000000024,0.8500000000000004
deepseek-r1-distill-qwen-1.5b,99056c3c2db73e4929ee1df107d73688,dd0cc503c45e3079b4c8bb6798619cd35098539cdb545af925d447f52579e6a7,False,17,18,100,16,0.9700272479564033,0.9500000000000002,0.05,0.8999999999999997
deepseek-r1-distill-qwen-1.5b,9c22e95143200153a9b0c049452517e1,1a648b3fe9445d60c7fd32dd4b32008c16acaed350ad9ebf125ae7701d333413,True,23,24,34,12,0.537890044576523,0.55,0.15000000000000002,0.39999999999999997
deepseek-r1-distill-qwen-1.5b,9c22e95143200153a9b0c049452517e1,25f627b1ad4a91c7d0af3879381537134781a629f780232ab5d7a44bcc5b405b,False,25,26,52,16,0.6163141993957704,1.0,0.055555555555555566,0.7708978328173374
