model,case_id,trace_id,base_is_correct,n_sentences,delta,commits,commit_boundary,depth,tvd_at_commit,n_distinct,top_share,second_share,top_two_share,n_over_10pct,effective_n
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,0d460432dbaf1d4aa85f066f1a649e9d1a4b6220b49461d7e210ca0c678e24e5,True,24,0.15,1,23,0.9660714285714286,0.0,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,0d460432dbaf1d4aa85f066f1a649e9d1a4b6220b49461d7e210ca0c678e24e5,True,24,0.2,1,23,0.9660714285714286,0.0,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,0d460432dbaf1d4aa85f066f1a649e9d1a4b6220b49461d7e210ca0c678e24e5,True,24,0.25,1,23,0.9660714285714286,0.0,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,0d460432dbaf1d4aa85f066f1a649e9d1a4b6220b49461d7e210ca0c678e24e5,True,24,0.3,1,23,0.9660714285714286,0.0,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,0d460432dbaf1d4aa85f066f1a649e9d1a4b6220b49461d7e210ca0c678e24e5,True,24,0.35,1,23,0.9660714285714286,0.0,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,0d460432dbaf1d4aa85f066f1a649e9d1a4b6220b49461d7e210ca0c678e24e5,True,24,0.4,1,23,0.9660714285714286,0.0,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,0d460432dbaf1d4aa85f066f1a649e9d1a4b6220b49461d7e210ca0c678e24e5,True,24,0.45,1,22,0.9017857142857143,0.4117647058823529,4,0.5882352941176471,0.23529411764705882,0.8235294117647058,3,2.9183485435942536
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,0d460432dbaf1d4aa85f066f1a649e9d1a4b6220b49461d7e210ca0c678e24e5,True,24,0.5,1,19,0.7339285714285714,0.5,6,0.5,0.16666666666666666,0.6666666666666666,4,4.282875862009457
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,263a60d68001bf29f7779947e5ed0eec2d8acad9cf3c2a0f6d4f5a17e92682ab,False,12,0.05,1,11,0.8788927335640139,0.0,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,263a60d68001bf29f7779947e5ed0eec2d8acad9cf3c2a0f6d4f5a17e92682ab,False,12,0.1,1,10,0.754325259515571,0.05882352941176471,2,0.9411764705882353,0.058823529411764705,1.0,1,1.250718362278225
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,263a60d68001bf29f7779947e5ed0eec2d8acad9cf3c2a0f6d4f5a17e92682ab,False,12,0.15,1,9,0.6885813148788927,0.14285714285714288,2,0.8571428571428571,0.14285714285714285,1.0,2,1.5069930657725379
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,263a60d68001bf29f7779947e5ed0eec2d8acad9cf3c2a0f6d4f5a17e92682ab,False,12,0.2,1,9,0.6885813148788927,0.14285714285714288,2,0.8571428571428571,0.14285714285714285,1.0,2,1.5069930657725379
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,263a60d68001bf29f7779947e5ed0eec2d8acad9cf3c2a0f6d4f5a17e92682ab,False,12,0.25,1,9,0.6885813148788927,0.14285714285714288,2,0.8571428571428571,0.14285714285714285,1.0,2,1.5069930657725379
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,263a60d68001bf29f7779947e5ed0eec2d8acad9cf3c2a0f6d4f5a17e92682ab,False,12,0.3,1,9,0.6885813148788927,0.14285714285714288,2,0.8571428571428571,0.14285714285714285,1.0,2,1.5069930657725379
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,263a60d68001bf29f7779947e5ed0eec2d8acad9cf3c2a0f6d4f5a17e92682ab,False,12,0.35,1,8,0.615916955017301,0.3157894736842105,4,0.6842105263157895,0.15789473684210525,0.8421052631578947,3,2.5677901623332335
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,263a60d68001bf29f7779947e5ed0eec2d8acad9cf3c2a0f6d4f5a17e92682ab,False,12,0.4,1,7,0.5709342560553633,0.375,5,0.625,0.1875,0.8125,2,3.087875256060877
deepseek-r1-distill-qwen-1.5b,11340d814fe69bcd7dec113898fd5947,263a60d68001bf29f7779947e5ed0eec2d8acad9cf3c2a0f6d4f5a17e92682ab,False,12,0.45,1,4,0.22837370242214533,0.4444444444444444,5,0.5555555555555556,0.16666666666666666,0.7222222222222222,3,3.4727740795272095
